"id","name","ibge_code"
"246","Quitasueno",""
"247","República árabe do Egito",""
"248","República Centro Africana",""
"249","República da áfrica do Sul",""
"250","República da Bielorrússia",""
"251","República da Macedônia",""
"252","República de El Salvador",""
"253","República de Fiji",""
"254","República de Malta",""
"255","República do Gabão",""
"256","República do Haiti",""
"257","República do Níger",""
"258","República Dominicana","214"
"259","República Guiana",""
"260","República Tcheca","203"
"261","Reservado",""
"262","Reservado",""
"263","Reservado",""
"264","Reservado",""
"265","Reunião",""
"266","Rodésia (zimbábwe)",""
"267","Romênia",""
"268","Roncador",""
"269","Ruanda","646"
"270","Ruiquiu,is",""
"271","Rússia","643"
"272","Saara Espanhol",""
"273","Sabah",""
"274","Samoa Americana","16"
"275","Samoa Ocidental",""
"276","San Marino","674"
"277","Santa Helena","654"
"278","Santa Lúcia","662"
"279","São Cristóvão",""
"280","São Tomé e Príncipe","678"
"281","São Vicente",""
"282","Sarawak",""
"283","Senegal","686"
"284","Sequin",""
"285","Serra Leoa","694"
"286","Sérvia","688"
"287","Seychelles",""
"288","Síria","760"
"289","Somália, República",""
"290","Sri-lanka",""
"291","St. Pierre et Miquelon",""
"292","Suazilândia","748"
"293","Sudão","729"
"294","Suécia","752"
"295","Suíça","756"
"296","Suriname","740"
"297","Svalbard e Jan Mayer,is",""
"298","Tadjiquistão",""
"299","Tailândia","764"
"300","Tanganica",""
"301","Tanzânia","834"
"302","Tartaria",""
"303","Tchecoslováquia",""
"304","Terr. Antártico da Austrália",""
"305","Terras Austrais",""
"306","Territ. Britânico do Oceano índico",""
"307","Território de Cocos",""
"308","Território de Papua",""
"309","Timor",""
"310","Togo","768"
"311","Tonga","776"
"312","Transkei",""
"313","Trégua, Estado",""
"314","Trinidad e Tobago","780"
"315","Tunísia","788"
"316","Turcomenistão","795"
"317","Turquia","792"
"318","Tuvalu","798"
"319","Tuvin",""
"320","Ucrânia","804"
"321","Udmurt",""
"322","Uganda","800"
"323","União Soviética",""
"324","Uruguai","858"
"325","Uzbequistão","860"
"326","Venezuela","862"
"327","Vietnã do Norte",""
"328","Vietnã do Sul",""
"329","Yakut",""
"330","Zaire",""
"331","Zâmbia","894"
"332","Zimbábwe",""
