02;Artes e humanidades;022;Humanidades (exceto línguas);0221;Religião e teologia;0221T013;Teologia - Tecnológico;Tecnológico;Curso novo
03;Ciências sociais, comunicação e informação;031;Ciências sociais e comportamentais;0312;Ciências sociais e políticas;0312C023;Ciências sociais - Tecnológico;Tecnológico;Curso novo
04;Negócios, administração e direito;042;Direito;0421;Direito;0421M013;Mediação - Tecnológico;Tecnológico;
06;Computação e Tecnologias da Informação e Comunicação (TIC);061;Computação e Tecnologias da Informação e Comunicação (TIC);0612;Infraestrutura e gestão de TIC;0612D012;Defesa cibernética - Bacharelado;Bacharelado;Curso novo
07;Engenharia, produção e construção;071;Engenharia e profissões correlatas;0714;Eletrônica e automação;0714E042;Engenharia de computação - Bacharelado;Bacharelado;Alteração do nome
09;Saúde e bem-estar;091;Saúde;0913;Enfermagem;0913E013;Enfermagem - Tecnológico;Tecnológico;Curso novo
10;Serviços;103;Serviços de segurança;1031;Setor militar e de defesa;1031C013;Ciências militares - Tecnológico;Tecnológico;Curso novo
